OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),Outlier,TotalGHGEmissions
576,2015,NonResidential,Other,Northgate Village Retail,98125,5,North,47.7094017,-122.3203319,1969,1.0,2.0,98539,0,98539,Strip Mall,98539.0,,,,,,5711553.0,,47.71
577,2015,NonResidential,Small- and Mid-Sized Office,Northway West Building,98133,5,Northwest,47.70732866,-122.3327728,1981,1.0,6.0,86483,0,86483,Office,86483.0,Parking,,,,50.0,6796335.0,,47.38
578,2015,NonResidential,Distribution Center,Pacific Plumbing Supply,98106,1,Delridge,47.53914935,-122.341353,1976,1.0,1.0,51600,0,51600,Distribution Center,34400.0,Office,17200.0,,,82.0,1012341.0,,21.57
579,2015,NonResidential,Warehouse,Jones Stevedoring,98106,1,Delridge,47.53627727,-122.3375131,1968,1.0,1.0,140520,0,140520,Non-Refrigerated Warehouse,140520.0,,,,,73.0,1738376.0,,42.41
580,2015,NonResidential,Large Office,Pemco,98109,7,Magnolia / Queen Anne,47.63108155,-122.3419109,1986,1.0,5.0,154029,62380,91649,Office,91645.0,Parking,66288.0,,,,1886382.0,,47.84
581,2015,NonResidential,Other,Meridian Medical Pavilion,98133,5,Northwest,47.7088653,-122.3346333,2005,1.0,3.0,161789,91935,69854,Parking,91935.0,Medical Office,69854.0,,,,7020517.0,,48.94
582,2015,NonResidential,Medical Office,Mcmurray Medical Building,98133,5,Northwest,47.71269972,-122.3376343,2005,1.0,3.0,63909,0,63909,Medical Office,60670.0,Retail Store,3239.0,,,,4397572.0,,30.66
583,2015,NonResidential,Warehouse,Iron Mountain,98103,5,Northwest,47.69818968,-122.342898,1948,1.0,2.0,53472,0,53472,Non-Refrigerated Warehouse,46846.0,Office,10033.0,,,,1051944.0,,35.86
584,2015,NonResidential,Warehouse,Emerson Power Products,98108,1,Greater Duwamish,47.52696432,-122.3293949,1980,1.0,1.0,50417,0,50417,Non-Refrigerated Warehouse,50417.0,,,,,59.0,1060850.0,,40.65
585,2015,NonResidential,Medical Office,Northwest Outpatient Medical Center,98133,5,Northwest,47.70458235,-122.3325262,1961,1.0,3.0,133298,0,133298,Medical Office,133298.0,,,,,34.0,14886199.0,,292.92
586,2015,NonResidential,Retail Store,J C Penny Co Building - Northgate Mall,98125,5,North,47.70855501,-122.32376419,1965,1.0,2.0,168619,0,168619,Retail Store,173106.0,,,,,76.0,6576563.0,,88.66
589,2015,NonResidential,Large Office,Mercer/Yale Bldg - 1260 Mercer,98109,7,Lake Union,47.62464437,-122.3312698,2000,1.0,4.0,160777,71385,89392,Office,103970.0,Parking,71390.0,,,88.0,6991476.0,,48.74
590,2015,NonResidential,Warehouse,4727 Building,98134,2,Greater Duwamish,47.56097562,-122.3349164,1969,1.0,2.0,104786,0,104786,Non-Refrigerated Warehouse,104786.0,,,,,92.0,960753.0,,17.94
592,2015,NonResidential,Other,Centurylink: Seattle 1St Ave Garage,98134,2,Greater Duwamish,47.55795279,-122.3347992,2000,1.0,1.0,53040,0,53040,Other,51427.0,,,,,,1825347.0,,51.67
