country_code,country,total_population,distance_capitale_paris,credendo_political_risk,credendo_commercial_risk,gdp_usd,chicken_imports_quantity_number,poultry_imports_quantity_tonnes,cannedchicken_imports_quantity_tonnes,chicken_stock_number,poultry_production_quantity_tonnes,chicken_production_quantity_tonnes,poultry_production_proportion_import
133,Mali,16477818.0,4144.0,6.0,2.0,13245776666.0,1397000.0,329.0,1702.0,36850000.0,44136.0,44246.0,0.06818181818181818
134,Malte,423246.0,1752.0,1.0,1.0,10146195098.999998,16000.0,5058.0,2542.0,918000.0,4115.0,4062.0,2.25
136,Mauritanie,3946170.0,3803.0,6.0,3.0,5639825064.0,4000.0,17143.0,2.0,4600000.0,4640.0,4630.0,3.4
137,Maurice,1255290.0,9425.0,2.0,2.0,12129658758.0,178000.0,82.0,1323.0,14500000.0,46800.0,48421.0,0.0425531914893617
138,Mexique,122535969.0,9199.0,2.0,2.0,1274443916300.0,3842000.0,667549.0,17573.0,524271000.0,2808032.0,2801250.0,0.2983134223471539
141,Mongolie,2869107.0,7056.0,5.0,2.0,12582094621.0,200000.0,8149.0,58.0,489000.0,123.0,139.0,inf
143,Maroc,33824769.0,1817.0,2.0,2.0,106825600090.0,3331000.0,505.0,1433.0,185000000.0,560000.0,599265.0,0.005847953216374269
144,Mozambique,26434372.000000004,8857.0,7.0,3.0,16018856302.000002,2103000.0,18694.0,94.0,21958000.0,55633.0,23129.0,0.37037037037037035
146,République de Moldova,4071964.0000000005,1977.0,5.0,2.0,7985414897.0,3994000.0,17946.0,958.0,32600000.0,42955.0,31381.0,0.4418604651162791
147,Namibie,2316520.0,8086.0,4.0,3.0,12717828996.0,11223000.0,16982.0,343.0,5350000.0,12480.0,7680.0,1.5
149,Népal,27985310.0,7245.0,4.0,3.0,18227220588.999996,1122000.0,136.0,28.0,47959000.0,42810.0,42811.0,0.0
150,Pays-Bas,16839699.0,430.0,1.0,1.0,876923518850.0,274401000.0,311693.0,184864.0,97719000.0,920794.0,932559.0,0.5731462925851704
153,Nouvelle-Calédonie,261889.0,,3.0,2.0,10041883611.0,0.0,8941.0,923.0,500000.0,778.0,851.0,11.0
154,Macédoine du Nord,2075739.0,1670.0,4.0,2.0,10817712030.0,617000.0,34024.0,2558.0,2202000.0,1801.0,2314.0,19.0
155,Vanuatu,253142.0,16348.0,3.0,2.0,801787556.0,47000.0,1848.0,113.0,750000.0,1009.0,838.0,2.0
156,Nouvelle-Zélande,4517527.0,19007.0,1.0,1.0,190784384690.0,0.0,2.0,596.0,19094000.0,167607.0,171217.0,0.0058823529411764705
157,Nicaragua,5945746.999999999,8902.0,5.0,3.0,10982988173.0,4001000.0,4772.0,966.0,21100000.0,123374.0,111013.0,0.04878048780487805
158,Niger,18426372.0,3935.0,6.0,2.0,7667949381.999999,51000.0,1416.0,15.0,17700000.0,17200.0,17186.0,0.11764705882352941
159,Nigéria,171829303.0,4457.0,5.0,3.0,514966205480.0,20000.0,355.0,172.0,134839000.0,193153.0,169991.0,0.0033333333333333335
162,Norvège,5077101.0,1343.0,1.0,1.0,523502127660.00006,19000.0,1009.0,958.0,15975000.0,93580.0,103963.0,0.019230769230769232
165,Pakistan,181712595.0,5925.0,5.0,3.0,220268616259.99997,1369000.0,26.0,1482.0,393000000.0,907000.0,908757.0,0.0021929824561403508
166,Panama,3838462.0,8671.0,3.0,2.0,45599994005.0,1431000.0,9589.0,1078.0,19862000.0,156124.0,143756.0,0.10273972602739725
167,Tchéquie (la),10594481.000000002,883.0,1.0,1.0,209402445000.0,19467000.0,63684.0,13546.0,22534000.0,146308.0,254867.0,0.6601307189542484
169,Paraguay,6465740.0,10172.0,4.0,2.0,28965906725.999996,14993000.0,88.0,601.0,16906000.0,40000.0,25007.0,0.023809523809523808
170,Pérou,30565716.0,10264.0,2.0,2.0,201217734180.0,1235000.0,23045.0,122.0,137679000.0,1254348.0,1203150.0,0.025768911055694097
171,Philippines,98481031.99999999,10756.0,2.0,2.0,271836220869.99997,511000.0,95727.0,169.0,163386000.0,1087425.0,1046414.0,0.0917516218721038
173,Pologne,38309451.0,1369.0,1.0,2.0,524231558189.99994,48780000.0,19484.0,9995.0,117054000.0,1517300.0,1520658.0,0.029358897543439184
174,Portugal,10527674.0,1456.0,1.0,2.0,226073492970.0,16518000.0,30120.0,12058.0,10236000.0,272533.0,340391.0,0.22614840989399293
175,Guinée-Bissau,1681495.0,4440.0,6.0,2.0,1045790295.0,14000.0,1279.0,,1900000.0,2444.0,1917.0,0.5
176,Timor-Leste,1184366.0,13130.0,5.0,3.0,5649813361.0,,5614.0,,820000.0,800.0,800.0,6.0
181,Zimbabwe,15054506.000000002,7951.0,7.0,3.0,15451768659.000002,180000.0,5657.0,28.0,19749000.0,63825.0,64714.0,0.09375
183,Roumanie,20068201.0,1874.0,2.0,1.0,191548065610.0,87373000.0,68154.0,7872.0,80136000.0,322893.0,245740.0,0.2786377708978328
184,Rwanda,11065151.000000002,6260.0,5.0,2.0,7622526729.000001,608000.0,26.0,22.0,4803000.0,15727.0,2144.0,0.0
185,Fédération de Russie,143597230.0,2490.0,3.0,3.0,2297124890500.0,13840000.0,502920.0,5132.0,446789000.0,3456639.0,3448318.0,0.15331212033555106
188,Saint-Kitts-et-Nevis,53169.0,6762.0,4.0,2.0,788711744.0000001,18000.0,3703.0,37.0,85000.0,85.0,137.0,inf
189,Sainte-Lucie,175660.0,6906.0,4.0,2.0,1469777778.0,53000.0,10670.0,372.0,450000.0,1472.0,1501.0,12.0
191,Saint-Vincent-et-les Grenadines,109320.0,6994.0,5.0,3.0,721207407.0,14000.0,7212.0,92.0,250000.0,453.0,467.0,inf
193,Sao Tomé-et-Principe,187045.0,5419.0,6.0,3.0,302925497.0,33000.0,1301.0,9.0,265000.0,385.0,717.0,inf
194,Arabie saoudite,29944476.000000004,4688.0,2.0,3.0,746647127410.0001,5747000.0,830559.0,18731.0,181500000.0,569000.0,581270.0,1.5448154657293498
195,Sénégal,14120320.0,4212.0,4.0,2.0,19209968166.0,143000.0,1.0,305.0,48796000.0,65011.0,64458.0,0.0
197,Sierra Leone,6922079.000000001,4725.0,6.0,3.0,4920343197.0,69000.0,13034.0,723.0,12591000.0,15120.0,15091.0,0.875
198,Slovénie,2066119.0000000002,967.0,1.0,2.0,48116256941.0,4389000.0,9212.0,2617.0,3172000.0,52611.0,46979.0,0.2982456140350877
199,Slovaquie,5425130.0,1091.0,1.0,2.0,98478349315.0,40839000.0,44477.0,5852.0,11521000.0,63401.0,67598.0,0.9375
202,Afrique du Sud,53767395.99999999,8695.0,3.0,3.0,366644893060.0,544000.0,319687.0,588.0,161600000.0,1671931.0,1497026.0,0.2120309708159619
203,Espagne,46697553.0,1054.0,1.0,1.0,1361854206500.0,59102000.0,90914.0,33231.0,138000000.0,1121295.0,1129214.0,0.12866817155756208
207,Suriname,542540.0,7197.0,5.0,3.0,5145655454.0,72000.0,20949.0,598.0,4955000.0,7933.0,7869.0,2.625
208,Tadjikistan,8177809.0,5292.0,6.0,3.0,8506195470.000001,869000.0,20000.0,,5021000.0,1400.0,808.0,20.0
209,Eswatini,1271456.0000000002,8848.0,4.0,3.0,4560719242.0,2521000.0,1036.0,4.0,3700000.0,5850.0,4925.0,0.3333333333333333
210,Suède,9615247.0,1545.0,1.0,1.0,579360671660.0,250000.0,41266.0,28824.0,8582000.0,117400.0,119799.0,0.6083333333333333
211,Suisse,8132674.0,435.0,1.0,1.0,688504173400.0,348000.0,34342.0,6717.0,10003000.0,78298.0,78043.0,0.7
213,Turkménistan,5366276.999999999,4582.0,6.0,3.0,39197543860.00001,,600.0,,16000000.0,21250.0,21250.0,0.05
214,"Chine, Taiwan Province de",23339857.999999996,,1.0,1.0,,298000.0,111201.0,264.0,91598000.0,510168.0,554493.0,0.1806853582554517
215,République-Unie de Tanzanie,50636595.0,6936.0,4.0,3.0,45489359769.99999,964000.0,383.0,32.0,35500000.0,87408.0,86455.0,0.02247191011235955
216,Thaïlande,68143065.0,9455.0,2.0,1.0,420333789340.0,2174000.0,9597.0,367.0,259242000.0,1610621.0,1377896.0,0.007482993197278911
217,Togo,7042948.0,4758.0,5.0,2.0,4320427168.0,20000.0,12155.0,44.0,25000000.0,32000.0,31989.0,0.40625
220,Trinité-et-Tobago,1348247.9999999998,7224.0,4.0,3.0,26578401369.0,679000.0,20339.0,2325.0,35000000.0,66578.0,66250.0,0.373134328358209
221,Oman,3711481.0,5618.0,3.0,2.0,78784441056.0,179000.0,110261.0,5127.0,4600000.0,6144.0,6002.0,19.666666666666668
222,Tunisie,11014558.0,1486.0,4.0,3.0,46252257244.0,1305000.0,1413.0,60.0,88000000.0,138800.0,138746.0,0.00980392156862745
223,Turquie,75787333.0,2602.0,4.0,3.0,950595270290.0,3430000.0,350.0,11.0,266153000.0,1758363.0,1758477.0,0.0
225,Émirats arabes unis,9006263.0,5247.0,2.0,2.0,390107528480.00006,1240000.0,355880.0,10052.0,21500000.0,43200.0,42258.0,8.333333333333334
226,Ouganda,37553726.0,6132.0,4.0,3.0,25713233607.0,1575000.0,265.0,2.0,31680000.0,64500.0,61595.0,0.0
229,Royaume-Uni,64641110.0,342.0,1.0,3.0,2753565033800.0,11549000.0,350658.0,294010.0,152000000.0,1443000.0,1471271.0,0.48856799037304455
230,Ukraine,45115785.0,2026.0,6.0,3.0,183310146380.0,97099000.0,61380.0,2470.0,195256000.0,1168300.0,1019617.0,0.0631938514090521
231,États-Unis d'Amérique,315536676.00000006,6169.0,1.0,1.0,16784851000000.0,5350000.0,56142.0,30641.0,1945900000.0,17396797.0,17546128.0,0.005028628329599203
233,Burkina Faso,17072723.0,4079.0,5.0,2.0,11947175436.0,559000.0,6.0,52.0,32769000.0,38160.0,37904.0,0.0
