country,croissance_population,food_proportion_animal_protein,food_protein_g_capita_day,food_supply_kcal_capita_day,gdp_per_capita_usd,cluster
Sainte-Lucie,0.09123890341858587,0.5905961964764904,85.71000000000002,2595.0,8367.17396,4
Saint-Vincent-et-les Grenadines,0.008952468850945916,0.5447060187869651,86.22999999999998,2968.0,6597.2137520000015,4
Sao Tomé-et-Principe,0.2606489094977489,0.2995478522984175,53.08,2400.0,1619.5327140000004,1
Arabie saoudite,0.3275364336325461,0.4357743097238896,91.63,3256.0,24934.386142,6
Sénégal,0.3232436727988688,0.2607283296289964,58.49,2455.0,1360.4485,1
Sierra Leone,0.33128450179044394,0.2649207197577053,56.13,2404.0,710.8187,1
Slovénie,0.03879102950529556,0.5386214783241502,96.19,3168.0,23288.231191,5
Slovaquie,0.004674913507433542,0.4820024824162185,72.51,2944.0,18152.256133000006,4
Afrique du Sud,0.12841201402925195,0.4263947491795594,85.32,3022.0,6819.09336,4
Espagne,0.09481416325814652,0.6211861174675821,104.88,3175.0,29163.288417000003,5
Suriname,0.1110064464339835,0.4509056244041945,62.94,2753.0,9484.37987,4
Tadjikistan,0.2434182667548748,0.33554188357785136,63.39,2201.0,1040.155801,1
Eswatini,0.16927106324122332,0.3000512032770097,58.59,2329.0,3587.005168,1
Suède,0.07415860854286628,0.6575380616412922,107.72,3178.0,60254.372213,3
Suisse,0.11530352954987146,0.6421357971637299,93.08,3391.0,84659.015399,3
Turkménistan,0.15261501874782102,0.4193370165745857,90.5,2840.0,7304.420525,4
"Chine, Taiwan Province de",0.04633301979015991,0.4846222420325384,89.74000000000002,2998.0,14702.554048492755,4
République-Unie de Tanzanie,0.3630648700995816,0.17650112476206953,57.790000000000006,2209.0,898.349499,1
Thaïlande,0.05558230451476432,0.4081800262812089,60.88,2784.0,6168.401573,4
Togo,0.30632983894167776,0.15119585214918882,59.79,2454.0,613.440163,1
Trinité-et-Tobago,0.04999486002124498,0.5172165566886623,83.35,3052.0,19713.288185,4
Oman,0.5560101540506149,0.5177337110481586,88.25,3143.0,21227.224673,6
Tunisie,0.1081403240628116,0.2877865692838304,98.58,3348.0,4199.193217,6
Turquie,0.1468020294767396,0.33583055863854977,108.12,3705.0,12542.93076,6
Émirats arabes unis,1.4068483874105673,0.3985472617796044,104.63,3280.0,43315.138419,2
Ouganda,0.41047811778633614,0.2351936218678816,52.68,2129.0,684.7052570000002,1
Royaume-Uni,0.08494241595810093,0.5646739657009979,103.21,3424.0,42597.737474,3
Ukraine,-0.05180212363625236,0.4869104039720153,88.62,3137.0,4063.104441,4
États-Unis d'Amérique,0.0879538702147904,0.6367369285518751,109.59,3681.0,53194.611837,3
Burkina Faso,0.3491295393200633,0.1394557823129252,79.38,2720.0,699.781484,1
Uruguay,0.024767585879036158,0.584162700129814,92.44,3051.0,16881.202977,4
Ouzbékistan,0.16217453066141285,0.3498741459906508,83.43,2760.0,1921.762314,4
Venezuela (République bolivarienne du),0.17199764362271486,0.5221202574989727,73.00999999999998,2631.0,12248.175454,4
Viet Nam,0.10574393026355232,0.380514705882353,81.6,2745.0,1871.325494,4
Éthiopie,0.30798174444315674,0.127317880794702,60.4,2131.0,490.495538,1
Samoa,0.07370737692922512,0.6273822050742429,85.53,2959.0,4217.831676,4
Yémen,0.3141613905107603,0.2354937224295894,58.94000000000001,2223.0,1358.885271,1
Zambie,0.3266705679153465,0.16714958348424486,55.22,1930.0,1850.80391,1
Belgique,0.07030211635783412,0.5835341365461848,99.6,3733.0,46713.438406,3
Luxembourg,0.21773800528478396,0.6332982086406744,113.88,3539.0,113341.237463,3
Serbie,-0.03992791883668756,0.4857073348741029,82.21000000000002,2729.0,6351.678982,4
Monténégro,0.0021109891286457128,0.5631301864905862,112.07,3491.0,7119.391447,5
Soudan,0.2975022620954768,0.41295432046386654,70.71,2336.0,1734.3774260000002,1
