country,croissance_population,food_proportion_animal_protein,food_protein_g_capita_day,food_supply_kcal_capita_day,animals_proportion_poultry_protein,poultry_food_proportion_import,gdp_per_capita_usd,income_variability,taux_urbanisation,political_stability,doing_business_score,cluster
Barbade,0.03765178617340914,0.5725294650951949,88.24000000000002,2937.0,0.2808788598574822,0.08333333333333333,15755.427261,1.0895471569628874,0.3189066543012789,1.27,63.55,7
Bangladesh,0.13345147689559367,0.1776504297994269,55.84,2450.0,0.04435483870967742,0.0,974.193541,0.6122448979591837,0.32550379164245224,-1.63,44.23,4
Bermudes,-0.03235702173577937,0.6638766519823789,90.8,2671.0,0.20072992700729925,2.0,89968.618136,2.433545488581056,1.040942473435185,0.97,84.55000000000001,3
Bolivie (État plurinational de),0.1804504212057998,0.4508407816997425,66.01,2257.0,0.3665994623655914,0.00273224043715847,2947.938522,0.9747452370403191,0.6945974640643735,-0.33,51.53,6
Botswana,0.1796602523140054,0.40718470551958064,64.86,2326.0,0.07194244604316546,0.5454545454545454,7001.009879000001,0.8168529664660361,0.5406639489557704,1.1,69.87,6
Brésil,0.10919688917078683,0.5536372249710496,94.99,3263.0,0.2768587183875261,0.0003327417923691216,12216.965936,0.8887526815813669,0.8431026103669335,-0.26,62.5,1
Belize,0.2788652324155612,0.3951678951678951,73.26,2751.0,0.31537132987910194,0.0,4685.249911999998,1.6721192293711378,0.4271763984647613,0.18,64.86,6
Îles Salomon,0.2613072975072128,0.3099166223168352,56.37,2390.0,0.06525472238122497,1.0,1839.056491,0.9623430962343096,0.213342016954356,0.3,61.66,6
Brunéi Darussalam,0.14807195470147638,0.5668557970238733,93.41,2985.0,0.403399433427762,0.07692307692307693,44598.075686,1.1390284757118927,0.7883839927436926,1.07,71.42,2
Bulgarie,-0.06890674012071674,0.4944923371647509,83.52,2829.0,0.19588377723970946,0.5771812080536913,7645.932129000002,0.7069635913750442,0.7286431683613076,0.17,76.39,1
Myanmar,0.08027948576641443,0.4081113801452785,82.6,2571.0,0.2121032334618808,0.0008583690987124463,1207.807683,0.972384286269934,0.3416916309368748,-1.14,48.75,6
Cameroun,0.31136904588168623,0.16721452050878946,69.97,2672.0,0.09487179487179488,0.0136986301369863,1493.748324,0.4865269461077844,0.5472145343619456,-0.53,41.6,4
Canada,0.11469935663574014,0.5212005717008099,104.95,3494.0,0.23912248628884825,0.1751937984496124,52264.959967,1.5168860904407555,0.81301008537818,1.06,83.08,2
Cabo Verde,0.13030401154413696,0.3792260692464358,73.65,2610.0,0.2370211242391693,1.0,3558.7979,1.2260536398467432,0.6151226865292845,0.78,60.16,7
République centrafricaine,0.1300933152337025,0.371825482960712,46.07,1879.0,0.028604786923525975,0.14285714285714285,347.913167,0.9047365620010644,0.40524724906565024,-2.15,36.68,4
Sri Lanka,0.06827504759616909,0.2731535756154748,59.71,2539.0,0.10300429184549356,0.0,3620.448452000001,0.3938558487593541,0.18965366642450054,-0.61,61.25,4
Tchad,0.4041811995700724,0.15465561224489796,62.72,2110.0,0.014432989690721654,0.0,1051.306964,1.753554502369668,0.21705209444273,-1.09,34.47,4
Chili,0.10528406456339057,0.5182005494505494,87.36000000000001,2979.0,0.2730284956925116,0.12597200622083982,15941.397939,0.9399127223900636,0.8997483934874353,0.36,74.76,1
"Chine, continentale",0.058521573343943034,0.4007345439706182,98.02,3109.0,0.10845213849287168,0.031940494421352,6947.741982,0.4824702476680605,0.5327468963595116,-0.54,75.61,1
Colombie,0.12314507983234345,0.5200372786579683,64.38,2804.0,0.2458183990442055,0.04354354354354354,8030.585914,1.890156918687589,0.7745138397601115,-1.29,63.03,8
Congo,0.35656451827955826,0.4306173795239017,51.67,2208.0,0.20269662921348314,0.8793103448275862,3747.359134,2.128623188405797,0.604051485532769,-0.48,37.99,8
